Date,Prec,Inf_Coeff
2/1/19,0,0.25
2/2/19,0,0.25
2/3/19,0,0.25
2/4/19,0.01,0.25
2/5/19,0,0.25
2/6/19,1.55,0.25
2/7/19,0.01,0.25
2/8/19,0.32,0.25
2/9/19,0,0.25
2/10/19,0.44,0.25
2/11/19,0.43,0.25
2/12/19,1.72,0.25
2/13/19,0,0.25
2/14/19,0,0.25
2/15/19,0.21,0.25
2/16/19,0.4,0.25
2/17/19,1.54,0.25
2/18/19,0.22,0.25
2/19/19,0.98,0.25
2/20/19,1.04,0.25
2/21/19,0.26,0.25
2/22/19,0.51,0.25
2/23/19,4.95,0.25
2/24/19,0.75,0.25
2/25/19,0,0.25
2/26/19,0,0.25
2/27/19,0,0.25
2/28/19,0.15,0.25
,,
,,
,,
