Date,Prec,Inf_Coeff
5/1/19,0,0.25
5/2/19,0.01,0.25
5/3/19,0.26,0.25
5/4/19,0.55,0.25
5/5/19,0.63,0.25
5/6/19,0,0.25
5/7/19,0,0.25
5/8/19,0,0.25
5/9/19,0,0.25
5/10/19,0,0.25
5/11/19,0.63,0.25
5/12/19,0.35,0.25
5/13/19,0.09,0.25
5/14/19,0.03,0.25
5/15/19,0.02,0.25
5/16/19,0.01,0.25
5/17/19,0.11,0.25
5/18/19,0.13,0.25
5/19/19,0.02,0.25
5/20/19,0.01,0.25
5/21/19,0,0.25
5/22/19,0.01,0.25
5/23/19,0,0.25
5/24/19,0,0.25
5/25/19,0,0.25
5/26/19,0,0.25
5/27/19,0,0.25
5/28/19,0,0.25
5/29/19,0,0.25
5/30/19,0,0.25
5/31/19,0,0.25
