Date,Prec,Inf_Coeff
4/1/19,0,0.25
4/2/19,0.08,0.25
4/3/19,0.01,0.25
4/4/19,0,0.25
4/5/19,0.38,0.25
4/6/19,0,0.25
4/7/19,0.06,0.25
4/8/19,1.19,0.25
4/9/19,0.01,-0.25
4/10/19,0,0.25
4/11/19,0,0.25
4/12/19,0.2,0.25
4/13/19,0.1,0.25
4/14/19,0.18,0.25
4/15/19,0,0.25
4/16/19,0,0.25
4/17/19,0,0.25
4/18/19,0,0.25
4/19/19,1.52,0.25
4/20/19,0.11,0.25
4/21/19,0.04,0.25
4/22/19,0,0.25
4/23/19,0,0.25
4/24/19,0,0.25
4/25/19,0,0.25
4/26/19,0.12,0.25
4/27/19,0,0.25
4/28/19,0,0.25
4/29/19,0,0.25
4/30/19,0,0.25
,,
