Date,Prec,Inf_Coeff
1/1/19,0.01,0.25
1/2/19,0.01,0.25
1/3/19,0.01,0.25
1/4/19,0.02,0.25
1/5/19,0.02,0.25
1/6/19,0.26,0.25
1/7/19,0.01,0.25
1/8/19,0.02,0.25
1/9/19,0,0.25
1/10/19,0.58,0.25
1/11/19,0.17,0.25
1/12/19,0.4,0.25
1/13/19,0.22,0.25
1/14/19,0,0.25
1/15/19,0,0.25
1/16/19,0,0.25
1/17/19,0.27,0.25
1/18/19,0.03,0.25
1/19/19,1.28,0.25
1/20/19,0.78,0.25
1/21/19,0,0.25
1/22/19,0,0.25
1/23/19,1.02,0.25
1/24/19,0.43,0.25
1/25/19,0,0.25
1/26/19,0,0.25
1/27/19,0,0.25
1/28/19,0,0.25
1/29/19,0.21,0.25
1/30/19,0.04,0.25
1/31/19,0,0.25
